method,problem,popsize,samples,trial,time
ep-lex-sd,uball5d,100,500,6,62.26506543159485
ep-lex-sd,uball5d,100,1000,6,57.04501748085022
ep-lex-sd,uball5d,100,5000,6,135.615718126297
ep-lex-d,uball5d,100,50,6,65.34335660934448
ep-lex-d,uball5d,100,100,6,59.84646010398865
ep-lex-d,uball5d,100,500,6,68.80466914176941
ep-lex-d,uball5d,100,1000,6,69.16697192192078
ep-lex-d,uball5d,100,5000,6,103.10398888587952
rand,uball5d,100,50,7,40.82785677909851
rand,uball5d,100,100,7,44.704999685287476
rand,uball5d,100,500,7,44.193565368652344
rand,uball5d,100,1000,7,63.745991468429565
rand,uball5d,100,5000,7,67.39762902259827
tourn,uball5d,100,50,7,51.36128306388855
tourn,uball5d,100,100,7,51.13422203063965
tourn,uball5d,100,500,7,42.30262756347656
tourn,uball5d,100,1000,7,34.98763060569763
tourn,uball5d,100,5000,7,103.06297326087952
lex,uball5d,100,50,7,59.291014671325684
lex,uball5d,100,100,7,63.124101877212524
lex,uball5d,100,500,7,64.05572938919067
lex,uball5d,100,1000,7,59.52319836616516
lex,uball5d,100,5000,7,116.43515396118164
dc,uball5d,100,50,7,87.44859576225281
dc,uball5d,100,100,7,97.07001495361328
dc,uball5d,100,500,7,95.08314156532288
dc,uball5d,100,1000,7,92.2842915058136
dc,uball5d,100,5000,7,131.54992842674255
afp,uball5d,100,50,7,93.61295008659363
afp,uball5d,100,100,7,103.82524037361145
afp,uball5d,100,500,7,94.74838852882385
afp,uball5d,100,1000,7,100.8821074962616
afp,uball5d,100,5000,7,126.5037431716919
ep-lex-s,uball5d,100,50,7,59.25956606864929
ep-lex-s,uball5d,100,100,7,55.919073820114136
ep-lex-s,uball5d,100,500,7,60.43199181556702
ep-lex-s,uball5d,100,1000,7,59.18731904029846
ep-lex-s,uball5d,100,5000,7,129.42901062965393
ep-lex-sd,uball5d,100,50,7,57.25661253929138
ep-lex-sd,uball5d,100,100,7,66.7048032283783
ep-lex-sd,uball5d,100,500,7,60.95729923248291
ep-lex-sd,uball5d,100,1000,7,64.32625889778137
ep-lex-sd,uball5d,100,5000,7,121.75905275344849
ep-lex-d,uball5d,100,50,7,65.83263039588928
ep-lex-d,uball5d,100,100,7,57.55895280838013
ep-lex-d,uball5d,100,500,7,63.29687142372131
ep-lex-d,uball5d,100,1000,7,72.6288058757782
ep-lex-d,uball5d,100,5000,7,123.46420979499817
rand,uball5d,100,50,8,46.95316004753113
rand,uball5d,100,100,8,40.015381813049316
rand,uball5d,100,500,8,49.05073261260986
rand,uball5d,100,1000,8,48.56640625
rand,uball5d,100,5000,8,82.65095043182373
tourn,uball5d,100,50,8,50.6133496761322
